CMSL#,District,Trade Class,Active?,Location Name,Brand Code,Phone,Fax,Physical Address 1,Physical Address 2,City,Province,PostCode,Open 24 hours?,opens,closes,Food Store?,Restaurant?,Service Station?,No.of bays,Carwash?,Carwash Type 1,Carwash Type 2,Truckwash?,Travel Stop?,Cardlock Type,ATM Banking?,SaniDump?,Showers?,Trucker Lounge?,Weigh-Scale?,Laundry?,Lottery?,Used Oil Depot?,Tire Repair?,Diesel?,Gasoline?,Ethanol?,Propane?,NGV?,Division,ALT-cd,System,MS-cd,Husky Market?,Pay@Pump?,Propane Tank Exchange?,Cust-no,Acc.Type,Site Terms,Tank Terms,Reseller id #,Excemption License #,Rent Terms,MeterProducts,ss-commission,fs-commission,cl-commission,SiteProducts,Latitude, Longitude,Motorists with Disabilities?,Bulk DEF
40,223,SSERV,yes,INSLEY HUSKY,HUSKY,(905)615-8923,(905)281-2220,INSLEY HUSKY,999 NORTH SERVICE RD,MISSISSAUGA,ON,L4Y 1A4,no,600,2200,yes,no,yes,2,no,,,no,no,,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,2,ALT04,no,MS010,no,yes,no,667913,R7,E30,CONS,839998275RT,,ERNT,104;131;173;175;, 1.00; 1.00; 1.00; 1.00;,;;;;,;;;;,104;131;173;175;,43.58972,-79.57722,yes,no
42,223,SSERV,yes,CAMILLA HUSKY,HUSKY,(905)281-2220,(905)281-2220,CAMILLA HUSKY,155 NORTH SERVICE RD,MISSISSAUGA,ON,L5A 1A2,no,600,2200,yes,no,yes,3,no,,,no,no,,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,2,ALT04,no,MS022,no,no,no,667913,R7,E30,CONS,839998275RT,,ERNT,104;173;175;, 1.00; 1.00; 1.00;,;;;,;;;,104;173;175;,43.57194,-79.596939,yes,no
57,223,SSERV,yes,DIXIE BLOOR HUSKY,HUSKY,(905)629-4858,(905)629-4858,DIXIE BLOOR HUSKY,3405 DIXIE RD  ,MISSISSAUGA,ON,L4Y 2A9,yes,,,yes,no,yes,2,no,,,no,no,,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,2,ALT04,no,MS010,no,yes,yes,667913,R7,E30,CONS,839998275RT,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.61722,-79.594722,yes,no
128,223,SSERV,no,CARLINGVIEW HUSKY,HUSKY,(416)679-9409,(999)999-9999,CARLINGVIEW HUSKY,916 DIXON RD,ETOBICOKE,ON,M9W 1J9,no,630,2200,yes,no,yes,2,no,,,no,no,,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,2,ALT09,no,MS010,no,yes,no,667914,R8,E30,,817462559RT,,ERNT,,,,,,43.687115,-79.596291,yes,no
145,223,SSERV,yes,NEWTON HUSKY,HUSKY,(905)297-4755,(905)318-8833,NEWTON HUSKY,1050 MAIN ST W,HAMILTON,ON,L8S 1B3,yes,,,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,2,ALT04,no,MS020,no,yes,yes,667919,R7,E30,CONS,803936335RT,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.25889,-79.908333,yes,no
171,223,SSERV,yes,CANNON HUSKY,HUSKY,(905)527-7390,(905)527-7390,CANNON HUSKY,55 CANNON ST E,HAMILTON,ON,L8L 1Z7,no,600,2000,yes,no,yes,2,no,,,no,no,,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,2,ALT04,no,MS020,no,yes,no,667919,R7,E30,CONS,803936335RT,,ERNT,104;131;173;175;, 1.00; 1.00; 1.00; 1.00;,;;;;,;;;;,104;131;173;175;,43.26056,-79.8655,yes,no
270,223,SSERV,yes,UPPER OTTAWA HUSKY,HUSKY,(905)387-1654,(905)387-1654,UPPER OTTAWA HUSKY,869 MOHAWK RD E,HAMILTON,ON,L8T 2R6,no,600,2100,yes,no,no,,no,,,no,no,,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,2,ALT04,no,MS010,no,no,yes,667993,R7,E30,CONS,775482920RT1,,ERNT,104;173;175;, 1.00; 1.00; 1.00;,;;;,;;;,104;173;175;,43.21694,-79.832788,yes,no
287,223,SSERV,yes,LOTUS HUSKY,HUSKY,(905)297-5460,(905)575-6864,LOTUS HUSKY ,878 UPPER JAMES ST,HAMILTON,ON,L9C 3A4,no,600,2200,yes,no,yes,1,no,,,no,no,,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,2,ALT04,no,MS020,no,yes,no,667993,R7,E30,CONS,775482920RT1,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.22667,-79.883066,yes,no
295,223,SSERV,yes,UPPER JAMES HUSKY,HUSKY,(905)389-7805,(905)389-4970,UPPER JAMES HUSKY,5 RYMAL RD W,HAMILTON,ON,L9B 1B5,yes,,,yes,no,no,,yes,Touchless,,no,no,,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,2,ALT04,no,MS020,no,yes,yes,667993,R7,E30,CONS,775482920RT1,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.20222,-79.893899,yes,no
335,223,SSERV,yes,PARKDALE MAIN HUSKY,HUSKY,(905)545-6610,(905)545-6610,PARKDALE MAIN HUSKY,1 PARKDALE AVE N,HAMILTON,ON,L8H 5W7,yes,,,yes,no,no,,no,,,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,2,ALT04,no,MS020,no,yes,yes,667993,R7,E30,CONS,775482920RT1,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.23667,-79.7925,yes,no
